Company,Location,Position,Link,Resume Path
Flipkart,"Bengaluru, Karnataka, India",Software Engineer,https://in.linkedin.com/jobs/view/software-engineer-at-flipkart-4275922794?position=1&pageNum=0&refId=xR%2Fh4frQfIo899FQZJKREw%3D%3D&trackingId=8ICWnaAr1kEqJ9Txt1cDog%3D%3D,E:\study\GitHub\resume-builder-with-ai\app_codes\data\Resumes\software-engineer-at-flipkart-4275922794.pdf
PhonePe,"Bengaluru, Karnataka, India",Software Engineer (Backend 3-5yrs),https://in.linkedin.com/jobs/view/software-engineer-backend-3-5yrs-at-phonepe-4250613909?position=2&pageNum=0&refId=xR%2Fh4frQfIo899FQZJKREw%3D%3D&trackingId=yNIOpXMXz0vJCdoG0XuLkw%3D%3D,E:\study\GitHub\resume-builder-with-ai\app_codes\data\Resumes\software-engineer-backend-3-5yrs-at-phonepe-4250613909.pdf
